,z_vstackV1_BOLD__INTERS_bin,z_vstackantcingulate_BOLD__INTERS_bin,z_vstackatempole_BOLD__INTERS_bin,z_vstackinsula_BOLD__INTERS_bin,z_vstackl_apfc_BOLD__INTERS_bin,z_vstackl_inf_front_BOLD__INTERS_bin,z_vstackl_inferomiddletemp_BOLD__INTERS_bin,z_vstackposcingulate_BOLD__INTERS_bin,z_vstackprecun_BOLD__INTERS_bin
sub-001,0.5325259763993317,0.5304883302005012,0.5222907529239766,0.5659833176691729,0.5367918494152046,0.5465055868838763,0.570141499582289,0.531046365914787,0.5096354166666667
sub-002,0.5378563442921027,0.5289802324438547,0.4949960686028797,0.5519340938129638,0.5175084770750406,0.5515436876504988,0.5016992849771487,0.5564097437220502,0.5347108580274215
sub-003,0.5515167821514572,0.5726639720215572,0.5518923943846544,0.5576759300211312,0.560772232869756,0.5685473897161203,0.5540183383294839,0.563000884564352,0.552313258636788
sub-004,0.4538632653671689,0.4635134564886213,0.47300796748905505,0.44848561087287697,0.4610502973119072,0.47193722263886484,0.4641964299068216,0.4402655455774987,0.4408225380159692
sub-005,0.5422981796596756,0.5562145495317241,0.5240766389658356,0.5725877192982457,0.5396913335971508,0.5744031130457723,0.5577892098667722,0.5637679725629864,0.5917425141801873
sub-006,0.5351781971458516,0.5430347628647543,0.5298576039963109,0.5124320005439956,0.5090157564453769,0.5195051653872482,0.5775687865925644,0.5616681995115468,0.5509193140740589
sub-007,0.5383819396977291,0.5645015316067948,0.5513543960912383,0.566231867547657,0.5354244196349459,0.572965241386294,0.5767005898584845,0.5693849522796891,0.5608674463937623
sub-008,0.5560063608776845,0.5658192663030124,0.53234457160057,0.5646800825593395,0.5531283017593002,0.5822023655953609,0.5694882119514473,0.5632245442036464,0.5537260737628386
sub-009,0.5510216456628135,0.5389691264745013,0.4937207135940795,0.5371517881031556,0.5379680705940596,0.5291852315975123,0.5321647892425326,0.5463017850090003,0.5370615058889052
sub-010,0.5253846421609579,0.5365116494941057,0.49741947461245706,0.547119186856029,0.5067916318574214,0.5102588647544788,0.5268474426807761,0.5227529471827717,0.5186676181193726
sub-011,0.5277708577165201,0.5354658906168984,0.5649411393630134,0.5426682201702736,0.5511455960830448,0.5101837226118517,0.5714974962416044,0.49343577029809416,0.5163011821269862
sub-012,0.49708953756941365,0.5018821563713205,0.48347768932134255,0.5053288859403411,0.4886665192392747,0.47759226497616597,0.5272906531033467,0.5146555113273379,0.47415044965354564
sub-013,0.5579841221897401,0.5394828235102342,0.5553470971186935,0.5757763085978935,0.5751139790533244,0.5538375769648894,0.6035429843738951,0.561711443242252,0.5237016575992828
sub-014,0.5878094358703777,0.561517829661874,0.5482313239238447,0.5772644330123556,0.5765933474035968,0.5646885854988347,0.5724140394846767,0.5388751483973091,0.5982060414193378
sub-015,0.5837516969507102,0.5508249791144528,0.5494765559732666,0.5807415674603175,0.5360060307017543,0.5721347639933166,0.5144018901420218,0.5510677736006684,0.5832386956975772
sub-016,0.5195575144758448,0.5259139227378792,0.47248293146659753,0.503182525278714,0.5263006654567453,0.5004537205081669,0.5054964998703656,0.49960029383804333,0.5272253910638666
sub-017,0.5125502710264033,0.5262575042256804,0.4870053039575684,0.5092906685317946,0.48641370869033057,0.5093810106662005,0.5147388820889433,0.5170659206154922,0.5587398729381593
sub-018,0.5587356549267907,0.5496169150947544,0.48983647546666936,0.5460610872660734,0.6065875298908541,0.5552494174031569,0.5561989487889765,0.5465137624763664,0.5391812865497077
sub-019,0.5468841712123446,0.5204952823234557,0.5462064966337412,0.5031888790603961,0.5349998771438399,0.5350547201336675,0.5357128851540616,0.5370344488672663,0.5547711926876013
sub-020,0.5052871674985784,0.561451247165533,0.5701481294272095,0.5953660411533036,0.560075890005125,0.5664711849652142,0.5696262715612561,0.5438655813202475,0.5449400110921562
sub-021,0.5481828169864437,0.578452222994461,0.5481902585595643,0.54031184403586,0.5639160927528907,0.5223123986436681,0.5629721362229102,0.5583945157010172,0.5623962216465536
sub-022,0.5256849884410649,0.5063511929594532,0.5032545642370424,0.5205692317987293,0.48475389035793487,0.5287280571056344,0.5156763675981778,0.5008860543097419,0.5086965693332205
sub-023,0.4819361437782491,0.5260282115545275,0.5829022342180238,0.5385258016836963,0.5204892573313626,0.574154938628623,0.5557081807081808,0.539754300280616,0.5109290319816637
sub-024,0.4777313654506636,0.508845609393855,0.47615972802376305,0.48354450942170246,0.4836947693307343,0.47357224078715304,0.49890931031281904,0.449090318388564,0.4879409171075838
sub-025,0.6077266734544695,0.5264710169521024,0.5455347352756892,0.5356208446463381,0.5293386460944027,0.5235387731481481,0.5734905840991368,0.5634577981411862,0.5738010390559732
sub-026,0.553719193817878,0.5274222013366751,0.5335803049289892,0.547734962406015,0.5442350668337511,0.547485380116959,0.5684753550543024,0.5591885964912282,0.549609440267335
sub-027,0.4723245928318287,0.5345637520614122,0.5264120744176904,0.5462931725117629,0.5179092567259463,0.5176660015291306,0.50203146946253,0.5274770944689585,0.5023219528529486
sub-028,0.5963356857054919,0.6045766829354087,0.5102157806797697,0.567928593413358,0.5675152794266368,0.5574088730598427,0.5541765598206041,0.5478432924416305,0.5751291606208504
sub-029,0.5315941395813781,0.5090927641916845,0.534519224891497,0.5248034001790703,0.5144971467405962,0.5373446169225072,0.5430209310938753,0.5354917962050032,0.5290891324437349
sub-030,0.4621269609208206,0.5235629583217302,0.4850674139051332,0.49721061914044373,0.527556158915808,0.48628747795414473,0.5032999164578111,0.4826127819548872,0.4709783718555648
